128342	128389	128362	462
128645	128649	128648	463
128699	128964	128880	464
129018	129273	128985	465
129328	129600	129600	466
129657	129905	129621	467
129963	130223	129936	468
130269	130515	130320	469
130561	130801	130535	470
130803	130805	130802	471
130854	131118	131040	472
131171	131416	131139	473
131472	131727	131445	474
131786	132030	131760	475
132088	132351	132062	476
132398	132645	132480	477
132693	132926	132666	478
132931	132980	132953	479
133231	133287	133252	480
133522	133578	133552	481
133821	133869	133844	482
134105	134156	134126	483
134376	134379	134378	484
134429	134665	134640	485
134721	134937	134686	486
134993	135241	134966	487
135289	135570	135360	488
135619	135908	135591	489
135911	135960	135935	490
136246	136294	136267	491
136571	136573	136572	492
136576	136624	136598	493
136909	136963	136930	494
137229	137231	137230	495
137234	137283	137257	496
137557	137612	137577	497
137898	137956	137925	498
138247	138304	138269	499
138563	138620	138594	500
138888	138934	138909	501
139206	139253	139227	502
139520	139567	139543	503
139834	139882	139855	504
140161	140217	140190	505
140503	140558	140525	506
140813	140817	140816	507
140819	140867	140842	508
141129	141186	141150	509
141430	141487	141461	510
141752	141798	141773	511
142064	142111	142084	512
142384	142387	142084	513
142437	142715	142560	514
142764	143019	142736	515
143021	143023	142736	516
143071	143327	143280	517
143382	143619	143348	518
143675	143934	143649	519
143981	144235	144000	520
144282	144537	144256	521
144540	144590	144564	522
144865	144917	144886	523
145165	145169	145168	524
145218	145467	145440	525
145521	145747	145487	526
145803	146058	145777	527
146107	146374	146160	528
146421	146682	146394	529
146685	146733	146708	530
147008	147061	147029	531
147324	147378	147352	532
147633	147688	147654	533
147929	147986	147959	534
148245	148292	148266	535
148572	148619	148592	536
148892	148939	148914	537
149210	149261	149231	538
149533	149536	149535	539
149585	149846	149760	540
149894	150135	149865	541
150191	150451	150165	542
150511	150766	150480	543
150825	151099	150798	544
151147	151413	151200	545
151461	151725	151434	546
151728	151777	151752	547
152030	152079	152050	548
152315	152319	152318	549
152368	152615	152341	550
152672	152917	152640	551
152976	153257	152949	552
153304	153578	153360	553
153625	153890	153598	554
153893	153942	153916	555
154205	154253	154225	556
154499	154552	154527	557
154819	154876	154840	558
155128	155186	155159	559
155470	155518	155492	560
155793	155839	155813	561
156092	156140	156114	562
156406	156453	156426	563
156701	156704	156426	564
156751	157003	156960	565
157058	157311	157025	566
157367	157646	157342	567
157704	157952	157680	568
158011	158265	157984	569
158311	158568	158400	570
158616	158856	158589	571
158859	158861	158858	572
158910	159158	159120	573
159213	159464	159180	574
159520	159797	159494	575
159846	160126	159840	576
160174	160436	160148	577
160482	160749	160560	578
160796	161060	160769	579
161062	161064	161061	580
161112	161380	161280	581
161433	161699	161401	582
161754	162037	162000	583
162093	162365	162058	584
162422	162690	162396	585
162747	162982	162720	586
163040	163306	163014	587
163353	163613	163440	588
163661	163914	163632	589
163918	163967	163941	590
164238	164291	164258	591
164541	164545	164544	592
164547	164596	164571	593
164842	164898	164880	594
165123	165179	165153	595
165430	165477	165452	596
165734	165788	165755	597
166035	166039	166038	598
166089	166358	166320	599
166415	166667	166380	600
166723	166979	166697	601
167025	167269	167040	602
167316	167556	167289	603
167559	167608	167583	604
167877	167929	167898	605
168181	168235	168210	606
168497	168554	168519	607
168797	168854	168828	608
169120	169166	169142	609
169424	169471	169444	610
169716	169719	169444	611
169767	170036	169920	612
170089	170356	170057	613
170360	170410	170385	614
170679	170735	170700	615
170990	171047	171021	616
171305	171351	171326	617
171607	171654	171627	618
171900	171948	171922	619
172204	172256	172225	620
172526	172581	172555	621
172850	172905	172871	622
173148	173204	173178	623
173469	173516	173491	624
173779	173827	173800	625
174075	174078	174077	626
174128	174384	174240	627
174437	174704	174405	628
174708	174758	174732	629
175027	175084	175049	630
175326	175382	175356	631
175634	175681	175680	632
175928	175976	175949	633
176221	176224	175949	634
176272	176522	176400	635
176574	176824	176543	636
176880	177149	177120	637
177206	177448	177171	638
177504	177752	177478	639
177799	178042	177840	640
178089	178325	178062	641
178379	178623	178560	642
178677	178909	178644	643
178964	179226	178939	644
179274	179540	179280	645
179587	179830	179560	646
179833	179881	179855	647
180135	180189	180157	648
180432	180486	180460	649
180752	180808	180773	650
181063	181120	181093	651
181392	181440	181440	652
181728	181775	181749	653
182041	182088	182063	654
182340	182387	182361	655
182642	182645	182361	656
182694	182962	182880	657
183017	183268	182984	658
183325	183593	183298	659
183651	183910	183615	660
183912	183969	183943	661
184224	184270	184245	662
184520	184566	184539	663
184815	184818	184539	664
184866	185125	185040	665
185179	185440	185146	666
185495	185764	185760	667
185821	186067	185785	668
186124	186386	186098	669
186433	186683	186480	670
186729	186982	186702	671
186984	186986	186983	672
187034	187296	187200	673
187349	187612	187317	674
187667	187941	187920	675
187998	188242	187963	676
188298	188564	188272	677
188612	188866	188640	678
188912	189155	188886	679
189202	189464	189360	680
189516	189776	189485	681
189832	190103	190080	682
190160	190409	190125	683
190465	190732	190438	684
190778	191040	190800	685
191088	191346	191061	686
191395	191665	191520	687
191715	191982	191686	688
191986	192036	192010	689
192330	192384	192351	690
192640	192645	192644	691
192695	192956	192669	692
193013	193260	192977	693
193317	193581	193291	694
193628	193905	193680	695
193953	194229	193926	696
194231	194233	194230	697
194282	194575	194400	698
194625	194894	194597	699
194897	194945	194919	700
195204	195258	195225	701
195521	195576	195550	702
195844	195900	195864	703
196156	196214	196188	704
196496	196544	196518	705
196830	196878	196851	706
197147	197195	197169	707
197452	197499	197473	708
197756	197760	197759	709
197810	198075	198000	710
198129	198378	198096	711
198433	198708	198407	712
198766	199019	198730	713
199077	199336	199051	714
199382	199634	199440	715
199680	199930	199654	716
199934	199983	199957	717
200245	200298	200266	718
200555	200611	200584	719
200884	200942	200906	720
201190	201248	201222	721
201515	201562	201537	722
201815	201861	201834	723
202110	202113	201834	724
202161	202437	202320	725
202488	202747	202457	726
202801	203075	203040	727
203131	203381	203096	728
203438	203702	203412	729
203749	204005	203760	730
204051	204291	204024	731
204338	204598	204480	732
204651	204910	204619	733
204965	205230	205200	734
205286	205532	205251	735
205589	205851	205562	736
205898	206160	205920	737
206206	206464	206180	738
206512	206779	206640	739
206832	207098	206800	740
207101	207103	207100	741
207151	207420	207360	742
207476	207725	207442	743
207781	208036	207755	744
